source,Cholera Outbreak & Case Reporting,Government Response & Policy,Other/Uncategorized,Sanitation & Waste Management
21st CENTURY CHRONICLE,1,0,0,0
AP News,1,0,0,0
Action contre la Faim,1,0,0,0
Africa CDC,0,0,0,1
Africa Check,2,0,0,1
African Business,0,0,0,1
Amnesty International,2,0,2,0
Amnesty International UK,0,0,1,0
Anadolu Ajansı,0,0,0,3
BBC,2,0,0,3
BMC Nursing,1,0,0,0
BMC Public Health,0,0,0,2
BellaNaija,0,0,0,1
Bloomberg.com,0,0,0,1
Blueprint Newspapers,1,0,0,1
Brand Communicator,2,0,0,1
Business Insider Africa,1,0,0,2
Businessday NG,4,0,0,3
Channels Television,2,0,0,1
Church News,0,0,0,1
Clean Air Task Force,1,0,0,0
Climate and Clean Air Coalition (CCAC),0,0,0,1
DW,0,0,0,2
Daily Post Nigeria,19,0,0,5
Daily Trust,2,0,0,5
Doctors Without Borders,0,0,0,1
Down To Earth,0,0,0,1
Elon University,1,0,0,0
EnergyTransition.org,1,0,0,0
EnviroNews Nigeria,4,0,0,0
European Civil Protection and Humanitarian Aid Operations,0,0,0,1
FIJ NG,5,0,0,0
Food and Agriculture Organization,0,0,0,1
Frontiers,0,0,0,5
"Gavi, the Vaccine Alliance",4,0,0,0
Global Investigative Journalism Network (GIJN),1,0,0,0
Heartbeat Of The East,0,0,0,1
International Rescue Committee,1,0,0,0
Johns Hopkins Bloomberg School of Public Health,0,0,0,1
"Journal of Health, Population and Nutrition",1,0,0,0
Kogi State Government,0,0,0,1
Legit News,2,0,0,0
Leigh Day,1,0,0,0
MSF,0,0,0,1
MSF Southern Africa,0,0,0,1
MSME Africa,0,0,0,1
Majorwaves Energy Report,1,0,0,0
Medical Xpress,0,0,0,1
Medium,4,0,0,0
Mondaq,0,0,1,0
Nairametrics,5,0,0,0
Nature,0,0,0,1
News Agency of Nigeria,1,0,0,1
NewsmakersNG,1,0,0,0
Nigerian Observer,1,0,0,0
NotjustOk,1,0,0,0
OCHA,3,0,0,1
Opportunity Desk,1,0,0,0
Outbreak News Today,1,0,0,1
PM News Nigeria,10,0,0,3
Peoples Gazette Nigeria,3,0,0,0
Premium Times Nigeria,8,0,0,2
Pulse Nigeria,0,0,0,3
Punch Newspapers,7,0,0,29
RFI,1,0,1,0
ReliefWeb,36,9,0,22
Reuters,1,0,0,1
Ripples Nigeria,1,0,0,1
Science Nigeria,1,0,0,0
ScienceDirect.com,1,0,1,6
Soccernet.ng,1,0,0,0
THISDAYLIVE,8,0,0,4
TechCabal,1,0,0,0
Techeconomy,0,0,0,2
The Guardian,0,0,1,0
The Guardian Nigeria News,12,0,0,2
The ICIR,0,0,0,1
The Nation Newspaper,6,0,0,1
The Sun Nigeria,4,0,0,0
The Whistler Newspaper,2,0,0,0
The World Economic Forum,0,0,0,1
TheCable,4,0,0,0
Tribune Online,2,0,0,1
Tropical Medicine and Health,1,0,0,0
Unicef,4,0,0,3
University of York,1,0,0,0
VOA - Voice of America English News,1,0,0,0
Vanguard News,14,0,0,28
WHO | Regional Office for Africa,0,0,0,4
Welcome to the United Nations,1,0,0,0
World Health Organization (WHO),2,0,0,0
Zikoko!,0,0,0,1
africanews.com,0,0,2,2
allAfrica.com,3,0,0,1
bayelsawatch.com,0,0,0,1
fundsforNGOs,1,0,0,0
medRxiv,0,0,0,1
news-africa.churchofjesuschrist.org,1,0,0,0
onepageafrica.com,0,0,0,1
pmexpressng.com,0,0,0,1
researchgate.net,7,0,0,0
the authority news,0,0,0,1
thestreetjournal.org,2,0,0,0
